,Unnamed: 0,Questions,Answers,extended_answer,base_response,synonyms,synonym_responses,antonyms,antonym_responses
10,10,"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,Roberta Vinci had the best singles ranking between her and Jorge Lozano.," Jorge Lozano, a male tennis player, never reached a higher singles ranking than Roberta Vinci, a female tennis player.","1. Roberta Vinci, a female tennis player, always maintained a higher singles ranking than Jorge Lozano, a male tennis player.;2. Jorge Lozano, a male tennis player, never surpassed the singles ranking of Roberta Vinci, a female tennis player.;3. In terms of singles ranking, Roberta Vinci, a female tennis player, consistently outperformed Jorge Lozano, a male tennis player.;4. The highest singles ranking was never achieved by Jorge Lozano, a male tennis player, compared to Roberta Vinci, a female tennis player.;5. Roberta Vinci, a female tennis player, always held a superior singles ranking to that of Jorge Lozano, a male tennis player.",NO;NO;NO;NO;NO,1. Roberta Vinci had a higher singles ranking than Jorge Lozano.;2. Jorge Lozano did not reach a higher singles ranking than Roberta Vinci.;3. Roberta Vinci's highest singles ranking was greater than that of Jorge Lozano.;4. Jorge Lozano's highest singles ranking was not higher than Roberta Vinci's.;5. Roberta Vinci surpassed Jorge Lozano in terms of highest singles ranking.,YES;YES;YES;NO;NO
11,11,"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","The song ""We'll Burn That Bridge"" was behind the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts."," The song ""I Can't Make You Love Me"" was the third single on the album ""A Lot About Livin' (And a Little 'bout Love,"" and it spent two weeks at the top of the country charts.","1. ""I Can't Make You Love Me"" served as the third single on the album ""A Lot About Livin' (And a Little 'bout Love,"" and it remained at the peak of the country charts for two consecutive weeks.;2. For a span of two weeks, ""I Can't Make You Love Me"" held the number one position on the country charts, being the third single released from the album ""A Lot About Livin' (And a Little 'bout Love."";3. The third single from the album ""A Lot About Livin' (And a Little 'bout Love"" was ""I Can't Make You Love Me,"" which spent two weeks at the top of the country charts.;4. ""I Can't Make You Love Me,"" the third single from the album ""A Lot About Livin' (And a Little 'bout Love,"" spent two weeks at the top of the country charts.;5. On the country charts, ""I Can't Make You Love Me,"" the third single from the album ""A Lot About Livin' (And a Little 'bout Love,"" held the number one position for two weeks.",YES;YES;YES;NO;YES,"1. ""I Can't Make You Love Me"" was not the third single on the album ""A Lot About Livin' (And a Little 'bout Love."";2. The third single on the album ""A Lot About Livin' (And a Little 'bout Love"" was not ""I Can't Make You Love Me."";3. ""I Can't Make You Love Me"" did not spend two weeks at the top of the country charts as the third single on the album ""A Lot About Livin' (And a Little 'bout Love."";4. ""I Can't Make You Love Me"" was not the single that spent two weeks at the top of the country charts, being the third single on the album ""A Lot About Livin' (And a Little 'bout Love."";5. The third single on the album ""A Lot About Livin' (And a Little 'bout Love"" did not spend two weeks at the top of the country charts as ""I Can't Make You Love Me.""",NO;NO;NO;YES;NO
12,12,"Which came out first, Dinosaur or McFarland, USA",Dinosaur,"Dinosaur came out first before McFarland, USA."," McFarland, USA is a 2015 sports drama film, while dinosaurs went extinct around 65 million years ago, so dinosaurs came out first.","1. Dinosaurs, prehistoric creatures that went extinct around 65 million years ago, existed before the 2015 sports drama film McFarland, USA.;2. The extinction of dinosaurs, which occurred around 65 million years ago, predates the release of the 2015 sports drama film McFarland, USA.;3. McFarland, USA, a 2015 sports drama film, was produced after the extinction of dinosaurs, which occurred around 65 million years ago.;4. The 2015 sports drama film McFarland, USA was released after the extinction of dinosaurs, which occurred around 65 million years ago.;5. Dinosaurs, which went extinct around 65 million years ago, existed prior to the production of the 2015 sports drama film McFarland, USA.",YES;YES;NO;NO;YES,"1. McFarland, USA, a 2015 sports drama film, did not come out before dinosaurs.;2. Dinosaurs did not come out after McFarland, USA, a 2015 sports drama film.;3. The extinction of dinosaurs occurred after McFarland, USA, a 2015 sports drama film was released.;4. McFarland, USA, a 2015 sports drama film, is a more recent event than the existence of dinosaurs.;5. Dinosaurs were around before the release of McFarland, USA, a 2015 sports drama film.",YES;YES;NO;YES;YES
13,13,Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,"Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas."," Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas.","1. Wichita, Kansas, is the city where Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are situated.;2. In Wichita, Kansas, you can find both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School.;3. Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are based in the city of Wichita, Kansas.;4. Wichita, Kansas, is the location of both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School.;5. The cities of Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas.",YES;YES;YES;YES;YES,"1. Neither Bishop Carroll Catholic High School nor Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas.;2. Wichita, Kansas, is not the city where both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located.;3. Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are not situated in Wichita, Kansas.;4. Wichita, Kansas, is not the location for both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School.;5. Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are not based in Wichita, Kansas.",NO;NO;NO;YES;NO
14,14,The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982","The Memphis Hustle are based in a suburb of a city with a population of 48,982 in 2010."," The Memphis Hustle are based in the suburb of Southaven, a city with a population of approximately 49,000 in 2010.","1. In 2010, the city of Southaven, where the Memphis Hustle are based, had an estimated population of around 49,000.;2. The population of Southaven, the suburb where the Memphis Hustle reside, was approximately 49,000 in the year 2010.;3. The Memphis Hustle's home city, Southaven, had a population of roughly 49,000 in the year 2010.;4. In the year 2010, the city of Southaven, home to the Memphis Hustle, had an approximate population of 49,000.;5. The Memphis Hustle's suburb, Southaven, had a population of approximately 49,000 in the year 2010.",YES;YES;NO;YES;YES,"1. The Memphis Hustle are not based in a city with a population of approximately 49,000 in 2010, as they are located in the suburb of Southaven.;2. Southaven, the suburb where the Memphis Hustle are based, did not have a population of approximately 49,000 in 2010.;3. The city with a population of approximately 49,000 in 2010 is not where the Memphis Hustle are based, as they are located in the suburb of Southaven.;4. The Memphis Hustle are not located in a city with a population larger than approximately 49,000 in 2010, as they are based in the suburb of Southaven.;5. The Memphis Hustle are not based in a city with a smaller population than approximately 49,000 in 2010, as they are located in the suburb of Southaven.",NO;NO;NO;NO;NO
15,15,Are both Dafeng District and Dazhou located in the same province?,no,"No, both Dafeng District and Dazhou are not located in the same province."," No, Dafeng District is located in Jiangsu Province, while Dazhou is located in Sichuan Province.","1. Dafeng District is situated in Jiangsu Province, but Dazhou is found in Sichuan Province.;2. While Dafeng District is a part of Jiangsu Province, Dazhou is located in Sichuan Province.;3. Dafeng District is in Jiangsu Province, but Dazhou is in Sichuan Province.;4. Jiangsu Province is home to Dafeng District, whereas Dazhou is in Sichuan Province.;5. Dafeng District is a district of Jiangsu Province, whereas Dazhou is a city in Sichuan Province.",YES;YES;YES;YES;YES,"1. Dafeng District is located in the same province as Dazhou.;2. Dafeng District and Dazhou are in the same province.;3. Jiangsu Province and Sichuan Province are the same, where both Dafeng District and Dazhou are located.;4. Dafeng District and Dazhou are both in the same Jiangsu Province.;5. Sichuan Province is where Dafeng District and Dazhou are both situated.",NO;NO;NO;YES;NO
16,16,"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,"A hairdresser from Yorkshire, England invented a material called Starlite, which was named by his granddaughter."," The hairdresser from Yorkshire, England, named John Walker, invented a matchstick, which his granddaughter named ""Lucifer.""","1. John Walker, a hairdresser from Yorkshire, England, is the inventor of the matchstick, which his granddaughter named ""Lucifer."";2. The matchstick, a revolutionary invention by a Yorkshire hairdresser named John Walker, was named ""Lucifer"" by his granddaughter.;3. The hairdresser John Walker from Yorkshire, England, created the matchstick, which his granddaughter called ""Lucifer."";4. The matchstick, an invention by a Yorkshire hairdresser named John Walker, was given the name ""Lucifer"" by his granddaughter.;5. John Walker, a Yorkshire hairdresser, invented the matchstick, which his granddaughter named ""Lucifer.""",NO;NO;NO;NO;NO,"1. The hairdresser from Yorkshire, England did not invent a matchstick.;2. John Walker, the hairdresser from Yorkshire, England, did not name the matchstick ""Lucifer."";3. The matchstick was not named ""Lucifer"" by the granddaughter of the hairdresser from Yorkshire, England.;4. The hairdresser from Yorkshire, England, named John Walker, did not invent a product that is called a matchstick.;5. The matchstick was not invented by the hairdresser from Yorkshire, England, and named ""Lucifer"" by his granddaughter.",NO;NO;NO;NO;NO
17,17,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the world outside North America until it was succeeded by a building in Hong Kong.," One Raffles Place was the tallest skyscraper outside North America until it was surpassed by the Ping An Finance Centre in Shenzhen, China.","1. The Ping An Finance Centre in Shenzhen, China, surpassed One Raffles Place as the tallest skyscraper outside North America.;2. One Raffles Place, located in Singapore, was the tallest skyscraper globally outside North America until it was surpassed by the Ping An Finance Centre in Shenzhen, China.;3. The Ping An Finance Centre in Shenzhen, China, is now taller than One Raffles Place, which was previously the tallest skyscraper outside North America.;4. One Raffles Place, a skyscraper in Singapore, was the tallest building globally outside North America until it was surpassed by the Ping An Finance Centre in Shenzhen, China.;5. The Ping An Finance Centre in Shenzhen, China, has taken the title of the tallest skyscraper outside North America from One Raffles Place in Singapore.",YES;YES;YES;YES;YES,"1. One Raffles Place was not the tallest skyscraper outside North America until it was surpassed.;2. The Ping An Finance Centre in Shenzhen, China did not surpass One Raffles Place as the tallest skyscraper outside North America.;3. One Raffles Place remains the tallest skyscraper outside North America.;4. The Ping An Finance Centre in Shenzhen, China did not succeed One Raffles Place as the tallest skyscraper in the world outside North America.;5. One Raffles Place continues to be the tallest skyscraper in the world outside North America.",YES;NO;NO;YES;NO
18,18,The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,The Kansas City Wizards' first home venue in Kansas City was Arrowhead Stadium., The Arrowhead Stadium served as the first home venue for the Kansas City Wizards when they were established in 1996.,"1. When the Kansas City Wizards were founded in 1996, their first home venue was the Arrowhead Stadium.;2. The Arrowhead Stadium was the initial home venue for the Kansas City Wizards upon their establishment in 1996.;3. The Kansas City Wizards began their journey in 1996 at the Arrowhead Stadium, serving as their first home venue.;4. The Arrowhead Stadium was the first location where the Kansas City Wizards played their home games, starting from their establishment in 1996.;5. Upon their inception in 1996, the Kansas City Wizards' first home venue was the Arrowhead Stadium.",NO;YES;NO;NO;NO,"1. The Arrowhead Stadium was not the first home venue for the Kansas City Wizards when they were established in 1996.;2. The Kansas City Wizards did not use the Arrowhead Stadium as their first home venue when they were established in 1996.;3. When the Kansas City Wizards were established in 1996, their first home venue was not the Arrowhead Stadium.;4. The Arrowhead Stadium was not the initial home venue for the Kansas City Wizards.;5. The Kansas City Wizards had a different venue as their first home venue, not the Arrowhead Stadium, when they were established in 1996.",YES;YES;YES;YES;YES
19,19,Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson,"Salisbury Woodland Gardens, which links a zoo with a park, was designed and built under the watchful eye of Thomas Mawson."," Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of Peter Smithers, a renowned British landscape architect.","1. Peter Smithers, a distinguished British landscape architect, oversaw the design and construction of Salisbury Woodland Gardens, which connects a zoo with a park.;2. The creation and development of Salisbury Woodland Gardens, linking a zoo and a park, was supervised by the skilled hands of Peter Smithers, a well-known British landscape architect.;3. Salisbury Woodland Gardens, a unique blend of a zoo and a park, was designed and built under the careful guidance of Peter Smithers, a celebrated British landscape architect.;4. The zoo-park combination known as Salisbury Woodland Gardens was meticulously designed and constructed by Peter Smithers, a prominent British landscape architect.;5. Peter Smithers, a British landscape architect of great repute, was responsible for the design and construction of Salisbury Woodland Gardens, which links a zoo with a park.",NO;YES;YES;YES;YES,"1. Salisbury Woodland Gardens does not link a zoo with a park designed and built under the watchful eye of Peter Smithers.;2. Peter Smithers, a renowned British landscape architect, is not the one who linked Salisbury Woodland Gardens with a zoo and a park.;3. The zoo and park in Salisbury Woodland Gardens were not designed and built under the watchful eye of Peter Smithers.;4. Salisbury Woodland Gardens does not have a park designed and built under the watchful eye of a renowned British landscape architect named Peter Smithers.;5. Peter Smithers is not the designer and builder of the park in Salisbury Woodland Gardens that links it with a zoo.",YES;NO;NO;NO;NO
