,Unnamed: 0,Questions,Answers,extended_answer,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score
190,190,What is the age range of the league for which the Bobby Smith Trophy is awarded?,16-21,The age range for the league for which the Bobby Smith Trophy is awarded is 16-21.,"The Bobby Smith Trophy is awarded in the Ontario Hockey League, which typically features players aged 16 to 21.","The Bobby Smith Trophy is awarded in the Ontario Hockey League (OHL), which primarily features players aged 16 to 21.;The Bobby Smith Trophy is awarded in the Ontario Hockey League (OHL), which typically features players aged 16 to 20.;The Bobby Smith Trophy is awarded to players in the Ontario Hockey League (OHL), which typically includes players aged 16 to 20.;The Bobby Smith Trophy is awarded to players in the Ontario Hockey League, which typically includes players aged 16 to 21.;The Bobby Smith Trophy is awarded in the Ontario Hockey League, which typically features players aged 16 to 20.;The Bobby Smith Trophy is awarded in the Ontario Hockey League, which typically features players aged 16 to 21.;The Bobby Smith Trophy is awarded to players in the Ontario Hockey League, which typically features players aged 16 to 20.;The Bobby Smith Trophy is awarded in the Ontario Hockey League, which primarily features players aged 16 to 20.;The Bobby Smith Trophy is awarded in the Ontario Hockey League, which features players typically aged 16 to 20.;The Bobby Smith Trophy is awarded in the Ontario Hockey League, which typically features players aged 16 to 21.","1. The Bobby Smith Trophy is awarded in the Ontario Hockey League, where players are generally between 16 and 21 years old.;2. In the Ontario Hockey League, the Bobby Smith Trophy is given to players who are usually aged 16 to 21.;3. Players in the Ontario Hockey League, typically aged 16 to 21, are eligible for the Bobby Smith Trophy.;4. The Ontario Hockey League awards the Bobby Smith Trophy to players who are typically in the 16 to 21 age range.;5. The age range for players in the Ontario Hockey League, who can win the Bobby Smith Trophy, is generally 16 to 21.",YES;NOT SURE;YES;YES;YES,"1. The Bobby Smith Trophy is not awarded in the Ontario Hockey League, which typically features players aged 16 to 21.;2. The Bobby Smith Trophy is awarded in the Ontario Hockey League, which does not typically feature players aged 16 to 21.;3. The Bobby Smith Trophy is awarded in a league that does not typically feature players aged 16 to 21.;4. The Bobby Smith Trophy is awarded in the Ontario Hockey League, which typically features players outside the age range of 16 to 21.;5. The Bobby Smith Trophy is awarded in the Ontario Hockey League, which typically features players younger than 16 or older than 21.",NO;NO;NOT SURE;NO;NO,0.6
191,191,Which documentary film came out first The Last Lions or Prophet's Prey ?,The Last Lions,The Last Lions was the documentary film that came out first.,"The documentary film ""The Last Lions"" came out first in 2011, while ""Prophet's Prey"" was released in 2015.","The documentary film ""The Last Lions"" came out first in 2011, while ""Prophet's Prey"" was released in 2015.;The documentary film ""The Last Lions"" came out first, premiering in 2011, while ""Prophet's Prey"" was released in 2015.;The documentary film ""The Last Lions"" came out first in 2011, while ""Prophet's Prey"" was released in 2015.;The documentary film ""The Last Lions"" came out first in 2011, whereas ""Prophet's Prey"" was released in 2015.;The documentary film ""The Last Lions"" came out first in 2011, while ""Prophet's Prey"" was released in 2015.;The documentary film ""The Last Lions"" came out first in 2011, while ""Prophet's Prey"" was released in 2015.;The documentary film ""The Last Lions"" came out first in 2011, while ""Prophet's Prey"" was released in 2015.;The documentary film ""The Last Lions"" came out first in 2011, while ""Prophet's Prey"" was released in 2015.;The documentary film ""The Last Lions"" came out first in 2011, while ""Prophet's Prey"" was released in 2015.;The documentary film ""The Last Lions"" came out first in 2011, while ""Prophet's Prey"" was released in 2015.","1. The documentary film ""The Last Lions"" was released earlier in 2011, whereas ""Prophet's Prey"" came out in 2015.;2. ""The Last Lions"" premiered first in 2011, with ""Prophet's Prey"" following in 2015.;3. Released in 2011, ""The Last Lions"" predates ""Prophet's Prey,"" which was released in 2015.;4. In 2011, ""The Last Lions"" was released, making it earlier than ""Prophet's Prey,"" which came out in 2015.;5. ""The Last Lions"" came out in 2011, preceding the 2015 release of ""Prophet's Prey.""",YES;YES;YES;YES;YES,"1. The documentary film ""The Last Lions"" did not come out first in 2011.;2. ""Prophet's Prey"" was not released in 2015.;3. ""The Last Lions"" was not released before ""Prophet's Prey."";4. ""Prophet's Prey"" did not come out after ""The Last Lions."";5. ""The Last Lions"" was not released in 2011.",NO;NO;YES;YES;NO,0.0
192,192,At what university can the building that served as the fictional household that includes Gomez and Morticia be found?,Syracuse University,The building that served as the fictional household that includes Gomez and Morticia can be found at Syracuse University.,"The building that served as the fictional household of Gomez and Morticia Addams in ""The Addams Family"" television series can be found at the University of California, Los Angeles (UCLA).","The building that served as the fictional household of Gomez and Morticia Addams can be found at the University of California, Los Angeles (UCLA).;The building that served as the fictional household of Gomez and Morticia Addams in the 1991 film ""The Addams Family"" can be found at the University of California, Los Angeles (UCLA).;The building that served as the fictional household of Gomez and Morticia Addams can be found at the University of California, Los Angeles (UCLA).;The building that served as the fictional household of Gomez and Morticia Addams can be found at the University of California, Los Angeles (UCLA).;The building that served as the fictional household of Gomez and Morticia Addams in ""The Addams Family"" TV series can be found at the University of California, Los Angeles (UCLA).;The building that served as the fictional household of Gomez and Morticia Addams can be found at the University of California, Los Angeles (UCLA).;The building that served as the fictional household of Gomez and Morticia Addams can be found at the University of California, Los Angeles (UCLA).;The building that served as the fictional household for Gomez and Morticia Addams in ""The Addams Family"" can be found at the University of California, Los Angeles (UCLA), specifically the Victorian house used in the 1960s TV series.;The building that served as the fictional household of Gomez and Morticia Addams in ""The Addams Family"" can be found at the University of California, Los Angeles (UCLA).;The building that served as the fictional household of Gomez and Morticia Addams in ""The Addams Family"" television series can be found at the University of California, Los Angeles (UCLA).","1. The University of California, Los Angeles (UCLA) is home to the building that served as the fictional household of Gomez and Morticia Addams in ""The Addams Family"" television series.;2. At UCLA, you can find the building that was used as the fictional residence of Gomez and Morticia Addams in ""The Addams Family"" TV show.;3. The building that portrayed the fictional home of Gomez and Morticia Addams in ""The Addams Family"" series is located at the University of California, Los Angeles.;4. UCLA houses the building that was depicted as the fictional household of Gomez and Morticia Addams in the ""The Addams Family"" television series.;5. The fictional home of Gomez and Morticia Addams from ""The Addams Family"" TV series can be found at the University of California, Los Angeles (UCLA).",NO;NO;NO;NO;NO,"1. The building that served as the fictional household of Gomez and Morticia Addams in ""The Addams Family"" television series cannot be found at the University of California, Los Angeles (UCLA).;2. The building that served as the fictional household of Gomez and Morticia Addams in ""The Addams Family"" television series is not located at the University of California, Los Angeles (UCLA).;3. The University of California, Los Angeles (UCLA) does not have the building that served as the fictional household of Gomez and Morticia Addams in ""The Addams Family"" television series.;4. You cannot find the building that served as the fictional household of Gomez and Morticia Addams in ""The Addams Family"" television series at the University of California, Los Angeles (UCLA).;5. The University of California, Los Angeles (UCLA) is not the location of the building that served as the fictional household of Gomez and Morticia Addams in ""The Addams Family"" television series.",YES;NOT SURE;YES;YES;YES,0.6
193,193,"Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?",Hot Lead and Cold Feet,Hot Lead and Cold Feet was released first.,"""Hot Lead and Cold Feet"" was released first in 1978, while ""The Greatest Game Ever Played"" was released in 2005.","""Hot Lead and Cold Feet"" was released first in 1978, while ""The Greatest Game Ever Played"" was released in 2005.;Hot Lead and Cold Feet was released first in 1978, while The Greatest Game Ever Played was released in 2005.;""Hot Lead and Cold Feet"" was released first in 1978, while ""The Greatest Game Ever Played"" was released in 2005.;""Hot Lead and Cold Feet"" was released first in 1978, while ""The Greatest Game Ever Played"" was released in 2005.;""Hot Lead and Cold Feet"" was released first in 1978, while ""The Greatest Game Ever Played"" was released in 2005.;""Hot Lead and Cold Feet"" was released first in 1978, while ""The Greatest Game Ever Played"" was released in 2005.;""Hot Lead and Cold Feet"" was released first in 1978, while ""The Greatest Game Ever Played"" was released in 2005.;""Hot Lead and Cold Feet"" was released first in 1978, while ""The Greatest Game Ever Played"" was released in 2005.;""Hot Lead and Cold Feet"" was released first in 1978, while ""The Greatest Game Ever Played"" was released in 2005.;""Hot Lead and Cold Feet"" was released first in 1978, while ""The Greatest Game Ever Played"" was released in 2005.","1. ""Hot Lead and Cold Feet"" came out first in 1978, whereas ""The Greatest Game Ever Played"" was released in 2005.;2. Released in 1978, ""Hot Lead and Cold Feet"" predates ""The Greatest Game Ever Played,"" which came out in 2005.;3. In 1978, ""Hot Lead and Cold Feet"" was released, making it earlier than ""The Greatest Game Ever Played,"" which was released in 2005.;4. The 1978 release of ""Hot Lead and Cold Feet"" occurred before ""The Greatest Game Ever Played,"" which was released in 2005.;5. ""Hot Lead and Cold Feet,"" released in 1978, was out before ""The Greatest Game Ever Played,"" which came out in 2005.",YES;YES;YES;YES;YES,"1. ""Hot Lead and Cold Feet"" was not released first in 1978.;2. ""The Greatest Game Ever Played"" was not released in 2005.;3. ""The Greatest Game Ever Played"" was released before ""Hot Lead and Cold Feet."";4. ""Hot Lead and Cold Feet"" was released after ""The Greatest Game Ever Played."";5. ""Hot Lead and Cold Feet"" was not released in 1978, while ""The Greatest Game Ever Played"" was not released in 2005.",NO;NO;NO;NO;NO,0.0
194,194,Which award David Hersey had got for Equus a play by Peter Shaffer ?,Outstanding Lighting Design,"David Hersey had received the Outstanding Lighting Design award for Equus, a play by Peter Shaffer.","David Hersey received the Tony Award for Best Lighting Design for his work on the play ""Equus"" by Peter Shaffer.","David Hersey received the Tony Award for Best Lighting Design for his work on the play ""Equus"" by Peter Shaffer.;David Hersey received the Tony Award for Best Lighting Design for his work on the play ""Equus"" by Peter Shaffer.;David Hersey received the Drama Desk Award for Outstanding Lighting Design for his work on the play ""Equus"" by Peter Shaffer.;David Hersey received the Drama Desk Award for Outstanding Lighting Design for his work on the play ""Equus"" by Peter Shaffer.;David Hersey received the Tony Award for Best Lighting Design for his work on the play ""Equus"" by Peter Shaffer.;David Hersey received the Tony Award for Best Lighting Design for his work on the play ""Equus"" by Peter Shaffer.;David Hersey received the Drama Desk Award for Outstanding Lighting Design for his work on the play ""Equus"" by Peter Shaffer.;David Hersey received the Drama Desk Award for Outstanding Lighting Design for his work on the play ""Equus"" by Peter Shaffer.;David Hersey received the Tony Award for Best Lighting Design for his work on the play ""Equus"" by Peter Shaffer.;David Hersey received the Tony Award for Best Lighting Design for his work on the play ""Equus"" by Peter Shaffer.","1. David Hersey was honored with the Tony Award for Best Lighting Design for his contribution to the play ""Equus"" by Peter Shaffer.;2. For his exceptional lighting design in the play ""Equus"" by Peter Shaffer, David Hersey was awarded the Tony Award.;3. The Tony Award for Best Lighting Design was bestowed upon David Hersey for his work on Peter Shaffer's play ""Equus."";4. David Hersey earned the Tony Award for Best Lighting Design due to his efforts on the play ""Equus"" by Peter Shaffer.;5. For his lighting design in ""Equus,"" a play by Peter Shaffer, David Hersey received the Tony Award for Best Lighting Design.",NO;YES;NOT SURE;NO;YES,"1. David Hersey did not receive the Tony Award for Best Lighting Design for his work on the play ""Equus"" by Peter Shaffer.;2. David Hersey received no Tony Award for Best Lighting Design for his work on the play ""Equus"" by Peter Shaffer.;3. The Tony Award for Best Lighting Design was not awarded to David Hersey for his work on the play ""Equus"" by Peter Shaffer.;4. David Hersey was not the recipient of the Tony Award for Best Lighting Design for the play ""Equus"" by Peter Shaffer.;5. For his work on the play ""Equus"" by Peter Shaffer, David Hersey did not receive the Tony Award for Best Lighting Design.",YES;YES;YES;YES;YES,0.4
195,195,"Which drink is larger, the Apple-Kneel or the Flaming volcano?",The flaming volcano,The Flaming Volcano drink is larger than the Apple-Kneel.,The Flaming Volcano is typically larger than the Apple-Kneel.,"The Flaming Volcano is generally larger than the Apple-Kneel.;The Flaming Volcano is typically larger than the Apple-Kneel.;The Flaming Volcano is typically larger than the Apple-Kneel.;The Flaming Volcano is typically larger than the Apple-Kneel.;The Flaming Volcano is typically larger than the Apple-Kneel.;The Flaming Volcano is typically larger than the Apple-Kneel.;The Flaming Volcano is typically larger than the Apple-Kneel.;The Flaming Volcano is typically larger than the Apple-Kneel.;The Flaming Volcano is typically larger than the Apple-Kneel, as it is often a multi-serving tiki cocktail designed for sharing.;The Flaming Volcano is typically larger than the Apple-Kneel.","1. The Flaming Volcano generally surpasses the Apple-Kneel in size.;2. Typically, the Flaming Volcano is bigger than the Apple-Kneel.;3. The Apple-Kneel is usually smaller compared to the Flaming Volcano.;4. In most cases, the Flaming Volcano is larger than the Apple-Kneel.;5. The Flaming Volcano tends to be larger than the Apple-Kneel.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,1. The Flaming Volcano is not typically larger than the Apple-Kneel.;2. The Apple-Kneel is typically larger than the Flaming Volcano.;3. The Flaming Volcano is typically smaller than the Apple-Kneel.;4. The Apple-Kneel is not typically smaller than the Flaming Volcano.;5. The Apple-Kneel is not typically smaller in size compared to the Flaming Volcano.,NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.0
196,196,What Andy Williams' album did a song written by Charles Wesley appear on?,The Andy Williams Christmas Album,The song written by Charles Wesley appeared on The Andy Williams Christmas Album.,"A song written by Charles Wesley appeared on Andy Williams' album ""The Andy Williams Christmas Album.""","A song written by Charles Wesley appeared on Andy Williams' album ""The Andy Williams Christmas Album."";A song written by Charles Wesley appeared on Andy Williams' album ""The Andy Williams Christmas Album."";A song written by Charles Wesley appeared on Andy Williams' album ""The Andy Williams Christmas Album."";A song written by Charles Wesley appeared on Andy Williams' album ""The Andy Williams Christmas Album."";A song written by Charles Wesley appeared on Andy Williams' album ""The Andy Williams Christmas Album."";A song written by Charles Wesley appeared on Andy Williams' album ""The Andy Williams Christmas Album."";A song written by Charles Wesley appeared on Andy Williams' album ""The Andy Williams Christmas Album."";A song written by Charles Wesley appeared on Andy Williams' album ""The Andy Williams Christmas Album."";A song written by Charles Wesley appeared on Andy Williams' album ""The Andy Williams Christmas Album."";A song written by Charles Wesley appeared on Andy Williams' album ""The Andy Williams Christmas Album.""","1. Andy Williams' album ""The Andy Williams Christmas Album"" features a song written by Charles Wesley.;2. A track penned by Charles Wesley is included on Andy Williams' ""The Andy Williams Christmas Album."";3. ""The Andy Williams Christmas Album"" by Andy Williams contains a song authored by Charles Wesley.;4. On Andy Williams' ""The Andy Williams Christmas Album,"" there is a song written by Charles Wesley.;5. Charles Wesley's song is part of Andy Williams' album titled ""The Andy Williams Christmas Album.""",NOT SURE;NOT SURE;YES;YES;NOT SURE,"1. A song written by Charles Wesley did not appear on Andy Williams' album ""The Andy Williams Christmas Album."";2. Andy Williams' album ""The Andy Williams Christmas Album"" does not feature a song written by Charles Wesley.;3. ""The Andy Williams Christmas Album"" by Andy Williams does not include a song written by Charles Wesley.;4. Charles Wesley did not write a song that appeared on Andy Williams' album ""The Andy Williams Christmas Album."";5. Andy Williams' album ""The Andy Williams Christmas Album"" lacks a song written by Charles Wesley.",NOT SURE;YES;YES;YES;YES,0.0
197,197,Who co-wrote The Hidden History of the Human Race with a man know devotionally as Drutakarma dasa?,Richard L. Thompson,Richard L. Thompson co-wrote The Hidden History of the Human Race with a man known devotionally as Drutakarma dasa.,Michael A. Cremo co-wrote The Hidden History of the Human Race with a man known devotionally as Drutakarma dasa.,"Michael A. Cremo co-wrote ""The Hidden History of the Human Race"" with Richard L. Thompson, who is devotionally known as Drutakarma dasa.;Michael A. Cremo co-wrote ""The Hidden History of the Human Race"" with Richard L. Thompson, who is devotionally known as Drutakarma dasa.;Michael A. Cremo co-wrote ""The Hidden History of the Human Race"" with Richard L. Thompson, who is known devotionally as Drutakarma dasa.;Michael A. Cremo co-wrote The Hidden History of the Human Race with a man known devotionally as Drutakarma dasa.;The Hidden History of the Human Race was co-written by Michael A. Cremo and Richard L. Thompson, who is known devotionally as Drutakarma dasa.;The Hidden History of the Human Race was co-written by Michael Cremo and Richard L. Thompson, who is devotionally known as Drutakarma dasa.;Michael A. Cremo co-wrote ""The Hidden History of the Human Race"" with Richard L. Thompson, who is devotionally known as Drutakarma dasa.;The Hidden History of the Human Race was co-written by Michael Cremo, who is known devotionally as Drutakarma dasa, and Richard L. Thompson.;The Hidden History of the Human Race was co-written by Michael A. Cremo and Richard L. Thompson, who is devotionally known as Drutakarma dasa.;Michael A. Cremo co-wrote The Hidden History of the Human Race with a man known devotionally as Drutakarma dasa.","1. Michael A. Cremo collaborated with a man known devotionally as Drutakarma dasa to co-write The Hidden History of the Human Race.;2. The Hidden History of the Human Race was co-written by Michael A. Cremo and a man known devotionally as Drutakarma dasa.;3. Alongside a man known devotionally as Drutakarma dasa, Michael A. Cremo co-authored The Hidden History of the Human Race.;4. Michael A. Cremo and a man known devotionally as Drutakarma dasa jointly wrote The Hidden History of the Human Race.;5. The book The Hidden History of the Human Race was co-authored by Michael A. Cremo and a man known devotionally as Drutakarma dasa.",YES;YES;YES;YES;YES,1. Michael A. Cremo did not co-write The Hidden History of the Human Race with a man known devotionally as Drutakarma dasa.;2. The Hidden History of the Human Race was not co-written by Michael A. Cremo with a man known devotionally as Drutakarma dasa.;3. Michael A. Cremo is not a co-author of The Hidden History of the Human Race with a man known devotionally as Drutakarma dasa.;4. A man known devotionally as Drutakarma dasa did not co-write The Hidden History of the Human Race with Michael A. Cremo.;5. The Hidden History of the Human Race was not co-written by a man known devotionally as Drutakarma dasa and Michael A. Cremo.,NO;NO;NO;NO;NO,0.1
198,198,"What WikiLeaks using whistleblower is notable for having a hacking organization with a user base of over 1,800,000?",Jeremy Hammond,"Jeremy Hammond, the whistleblower associated with WikiLeaks, is notable for having a hacking organization with a user base of over 1,800,000.","Julian Assange, the founder of WikiLeaks, is notable for his association with the hacking organization WikiLeaks, which has a significant user base.","The WikiLeaks whistleblower notable for having a hacking organization with a user base of over 1,800,000 is Julian Assange.;The WikiLeaks whistleblower Julian Assange is notable for being associated with a hacking organization that has a user base of over 1,800,000.;Julian Assange, the founder of WikiLeaks, is notable for his association with the whistleblowing platform and its extensive user base.;Julian Assange, the founder of WikiLeaks, is notable for leading the organization which has a significant user base and has facilitated numerous high-profile leaks.;Julian Assange, the founder of WikiLeaks, is notable for his involvement in the platform which has a significant user base, although the specific figure of 1,800,000 users typically pertains to the broader reach of WikiLeaks rather than a hacking organization.;The WikiLeaks whistleblower notable for having a hacking organization with a user base of over 1,800,000 is Julian Assange.;Julian Assange, the founder of WikiLeaks, is notable for his involvement with the hacking organization Anonymous, which has a user base of over 1,800,000.;The WikiLeaks whistleblower notable for having a hacking organization with a user base of over 1,800,000 is Chelsea Manning.;The WikiLeaks whistleblower notable for having a hacking organization with a user base of over 1,800,000 is Julian Assange, who founded WikiLeaks.;Julian Assange, the founder of WikiLeaks, is notable for his association with the hacking organization WikiLeaks, which has a significant user base.","1. Julian Assange, the creator of WikiLeaks, is recognized for his connection to the hacking group WikiLeaks, which boasts a substantial user base.;2. The founder of WikiLeaks, Julian Assange, is well-known for his involvement with the hacking organization WikiLeaks, which has a large user base.;3. Julian Assange, who established WikiLeaks, is notable for his ties to the hacking entity WikiLeaks, which has a considerable user base.;4. Julian Assange, the individual behind WikiLeaks, is distinguished for his association with the hacking organization WikiLeaks, which has a significant user base.;5. The initiator of WikiLeaks, Julian Assange, is notable for his link to the hacking group WikiLeaks, which has a notable user base.",NO;NO;YES;NO;NO,1. Julian Assange is not notable for his association with the hacking organization WikiLeaks.;2. The founder of WikiLeaks is not Julian Assange.;3. Julian Assange is not the founder of WikiLeaks.;4. WikiLeaks does not have a significant user base.;5. Julian Assange is not associated with the hacking organization WikiLeaks.,NO;NO;NO;NOT SURE;NO,0.9
199,199,"In the 1970s, which group acquired this department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis?",Army & Navy Stores,"The Army & Navy Stores, which was acquired by a group in the 1970s, is the department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis.","In the 1970s, the House of Fraser group acquired the department store group in the United Kingdom whose co-founding director was the father of Lieutenant Colonel Donald Swain Lewis.","In the 1970s, the House of Fraser group acquired the department store group in the United Kingdom whose co-founding director was the father of Lieutenant Colonel Donald Swain Lewis.;In the 1970s, the House of Fraser group acquired the department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis.;In the 1970s, the department store group Debenhams was acquired by the Burton Group in the United Kingdom.;In the 1970s, the House of Fraser group acquired the department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis.;In the 1970s, the House of Fraser group acquired the department store group Harrods, whose co-founding director was the father of Lieutenant Colonel Donald Swain Lewis.;In the 1970s, the House of Fraser group acquired the department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis.;In the 1970s, the House of Fraser group acquired the department store group founded by the father of Lieutenant Colonel Donald Swain Lewis in the United Kingdom.;In the 1970s, the House of Fraser group acquired the department store group in the United Kingdom co-founded by the father of Lieutenant Colonel Donald Swain Lewis.;In the 1970s, the House of Fraser group acquired the department store group in the United Kingdom co-founded by the father of Lieutenant Colonel Donald Swain Lewis.;In the 1970s, the House of Fraser group acquired the department store group in the United Kingdom whose co-founding director was the father of Lieutenant Colonel Donald Swain Lewis.","1. In the 1970s, the department store group in the United Kingdom, whose co-founding director was the father of Lieutenant Colonel Donald Swain Lewis, was acquired by the House of Fraser group.;2. The House of Fraser group took over the department store group in the United Kingdom in the 1970s, which had a co-founding director who was the father of Lieutenant Colonel Donald Swain Lewis.;3. During the 1970s, the House of Fraser group acquired the UK department store group co-founded by the father of Lieutenant Colonel Donald Swain Lewis.;4. The UK department store group, co-founded by the father of Lieutenant Colonel Donald Swain Lewis, was acquired by the House of Fraser group in the 1970s.;5. In the 1970s, the House of Fraser group took ownership of the department store group in the United Kingdom, whose co-founding director was the father of Lieutenant Colonel Donald Swain Lewis.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,"1. In the 1970s, the House of Fraser group did not acquire the department store group in the United Kingdom whose co-founding director was the father of Lieutenant Colonel Donald Swain Lewis.;2. The House of Fraser group did not acquire the department store group in the United Kingdom in the 1970s.;3. In the 1970s, the department store group in the United Kingdom whose co-founding director was the father of Lieutenant Colonel Donald Swain Lewis was not acquired by the House of Fraser group.;4. The department store group in the United Kingdom whose co-founding director was the father of Lieutenant Colonel Donald Swain Lewis was not acquired by the House of Fraser group in the 1970s.;5. In the 1970s, the House of Fraser group did not acquire the department store group in the United Kingdom.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NO,0.1
200,200,Who covered the song I Love You by Chris Write?,People! and The Carnabeats,"The song ""I Love You"" by Chris Write was covered by People and The Carnabeats.","The song ""I Love You"" by Chris White was famously covered by the band People! in 1968.","The song ""I Love You"" by Chris White was famously covered by the band People! in 1968.;The song ""I Love You"" by Chris White was famously covered by the band People! in 1968.;The song ""I Love You"" by Chris White was famously covered by the band People! in 1968.;The song ""I Love You"" by Chris White was famously covered by the band People! in 1968.;The song ""I Love You"" by Chris White was famously covered by the band People! in 1968.;The song ""I Love You"" by Chris White was notably covered by the band People! in 1968.;The song ""I Love You"" by Chris White was famously covered by the band People! in 1968.;The song ""I Love You"" by Chris Write was covered by the band Climax Blues Band.;The song ""I Love You"" by Chris White was famously covered by the band People!;The song ""I Love You"" by Chris White was famously covered by the band People! in 1968.","1. The band People! famously covered the song ""I Love You"" by Chris White in 1968.;2. In 1968, the song ""I Love You"" by Chris White was notably covered by the band People!.;3. People! is the band that famously covered Chris White's song ""I Love You"" in 1968.;4. The 1968 cover of Chris White's song ""I Love You"" was done by the band People!.;5. Chris White's song ""I Love You"" was famously covered in 1968 by the band People!.",YES;YES;NOT SURE;YES;YES,"1. The song ""I Love You"" by Chris White was not famously covered by the band People! in 1968.;2. The band People! did not famously cover the song ""I Love You"" by Chris White in 1968.;3. In 1968, the band People! did not cover the song ""I Love You"" by Chris White.;4. The song ""I Love You"" by Chris White was not covered by the band People! in 1968.;5. People! did not cover the song ""I Love You"" by Chris White in 1968.",NO;NO;NO;NO;NOT SURE,0.1
201,201,Phoebe Ruguru created a 2014 film on a smartphone marketed by what company?,Apple,Phoebe Ruguru created a 2014 film on a smartphone marketed by Apple.,Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.,Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.;Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.;Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.;Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.;Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.;Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.;Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.;Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.;Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.;Phoebe Ruguru created a 2014 film on a smartphone marketed by Nokia.,"1. Phoebe Ruguru created a 2014 film using a smartphone marketed by Nokia.;2. In 2014, Phoebe Ruguru made a film on a smartphone that was marketed by Nokia.;3. The 2014 film by Phoebe Ruguru was created on a smartphone marketed by Nokia.;4. A smartphone marketed by Nokia was used by Phoebe Ruguru to create a 2014 film.;5. Phoebe Ruguru's 2014 film was made on a smartphone marketed by Nokia.",YES;NOT SURE;NOT SURE;NOT SURE;NOT SURE,1. Phoebe Ruguru did not create a 2014 film on a smartphone marketed by Nokia.;2. A 2014 film created by Phoebe Ruguru was not made on a smartphone marketed by Nokia.;3. The smartphone marketed by Nokia was not used by Phoebe Ruguru to create a 2014 film.;4. Phoebe Ruguru's 2014 film was not created on a smartphone marketed by Nokia.;5. Nokia did not market the smartphone used by Phoebe Ruguru to create a 2014 film.,YES;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.0
